Movie_Name,Year,Rating
10,1979,3
10 Things I Hate About You,1999,3
101 Dalmatians II: Patch's London Adventure,2003,3
11:14,2005,3
13 Ghosts,1960,3
18 Again,1988,2
1984,1984,3
2 Fast 2 Furious,2003,3
200 Cigarettes,1999,2
2010: The Year We Make Contact,1984,3
24 Hour Party People,2002,3
25th Hour,2002,3
28 Days Later,2002,3
50 First Dates,2004,3
7 Seconds,2005,2
9 1/2 Weeks,1986,3
A Beautiful Mind,2001,3
A Better Tomorrow II,1988,3
A Christmas Carol,1951,4
A Cinderella Story,2004,3
A Dirty Shame,2004,2
A Fistful of Dollars,1964,3
A Guy Thing,2003,3
A Hard Day's Night: Collector's Series,1964,3
A Home of Our Own,1993,3
A Lesson Before Dying,1999,3
A Little Princess,1995,3
A Love Song for Bobby Long,2004,3
A Man Apart,2003,3
A Mighty Wind,2003,3
A Night at the Opera,1935,4
A Nightmare on Elm Street,1984,3
A Nightmare on Elm Street 3: Dream Warriors,1987,3
A Streetcar Named Desire,1951,3
A Thousand Acres,1997,3
A Walk in the Clouds,1995,3
ABC Primetime: Mel Gibson's The Passion of the Christ,2004,4
Abandon,2002,2
Abbott & Costello Meet the Mummy,1955,3
About Adam,2000,2
About Schmidt,2002,3
About a Boy,2002,3
Absolute Power,1997,3
Absolutely Fabulous: Series 2,1994,3
Absolutely Fabulous: Series 5,2003,4
Ace Ventura: When Nature Calls,1995,3
Action Jackson,1988,2
Addicted to Love,1997,3
Affliction,1998,3
Against the Ropes,2004,3
Agnes Browne,1999,3
Aguirre: The Wrath of God,1972,3
Aimee and Jaguar,2000,3
Air Bud Spikes Back,2003,3
Air Bud: World Pup,2000,3
Airplane II: The Sequel,1982,3
Aladdin: Platinum Edition,1992,4
Alex and Emma,2003,2
Ali G Indahouse,2002,2
Alias: Season 1,2001,4
Alias: Season 4,2005,4
Alien: Collector's Edition,1979,4
Alien: Resurrection: Collector's Edition,1997,3
Aliens: Collector's Edition,1986,4
All Creatures Great and Small: Series 1,1978,3
All I Wanna Do,2000,3
All Quiet on the Western Front,1930,3
All of Me,1984,3
All the Pretty Horses,2000,2
All the Right Moves,1983,3
Along Came Polly,2004,3
Amarcord,1974,3
Amazon Women on the Moon,1987,3
America's Sweethearts,2001,3
American Beauty,1999,3
American Pimp,2000,3
American Psycho,2000,3
American Psycho 2,2002,2
American Wedding,2003,3
Amores Perros,2000,3
An American Rhapsody,2001,3
An Evening With Kevin Smith,2002,4
An Ideal Husband,1999,3
An Officer and a Gentleman,1982,3
Angel: Season 4,2002,4
Animal Crackers,1930,4
Annie,1999,3
Annie: Special Anniversary Edition,1982,3
Another Day in Paradise,1998,3
April Fool's Day,1986,3
Aqua Teen Hunger Force: Vol. 1,2000,4
Arachnophobia,1990,3
Ararat,2002,3
Armageddon,1997,3
Armed and Dangerous,1986,3
Army of Darkness,1993,3
Around the World in 80 Days,2004,3
As Time Goes By: Series 1 and 2,1992,4
Aspen Extreme,1993,2
At Close Range,1984,3
BASEketball,1998,3
Baby Boom,1987,3
Babylon 5: Season 4,1996,4
Back to School,1986,3
Back to the Future Part III,1990,3
Bad Boys,1995,3
Bad Boys II,2003,3
Bad Education,2004,3
Bagdad Cafe,1988,3
Bananas,1971,3
Barbarella,1968,2
Barbershop,2002,3
Basquiat,1996,3
Batman Begins,2005,4
Batman Beyond: Return of the Joker,2000,3
Batman Beyond: The Movie,1999,3
Batman: Mask of the Phantasm,1993,3
Batman: The Animated Series: Tales of the Dark Knight,1992,3
Battleship Potemkin,1925,3
Beaches,1988,3
Bean: The Movie,1997,3
Beautiful Creatures,2000,2
Beautiful Thing,1996,3
Beauty Shop,2005,3
Beauty and the Beast,1946,3
Bedazzled,2000,3
Behind the Planet of the Apes,1998,3
Being John Malkovich,1999,3
Belly of the Beast,2003,3
Beloved,1998,2
Below,2002,3
Bend It Like Beckham,2002,3
Bent,1997,3
Best of The Muppet Show: Peter Sellers / John Cleese / Dudley Moore,1978,3
Better Off Dead,1985,3
Better Than Sex,2000,3
Beverly Hills Cop,1984,3
Beverly Hills Cop III,1994,3
Beverly Hills Ninja,1997,3
Beyond Borders,2003,3
Biggie & Tupac,2002,2
Bill Cosby: Himself,1983,4
Birdman of Alcatraz,1962,3
Birdy,1984,3
Black Adder,1983,3
Black Adder Back & Forth,1999,3
Black Dog,1998,3
Black Mask,1998,3
Black Orpheus,1959,3
Black and White,1999,2
Blade: Trinity,2004,3
